yourls,Time (seconds)
shorten,0.7164847851
shorten,0.6221942902
shorten,0.5646188259
shorten,0.6419000626
shorten,1.097255707
shorten,0.4361460209
shorten,0.09396862984
shorten,0.3751962185
shorten,0.02780890465
shorten,0.0436193943
shorten,0.3000531197
shorten,0.2821617126
shorten,0.290895462
shorten,0.04115056992
shorten,0.345968008
shorten,0.31270504
shorten,0.02447533607
shorten,0.0896756649
shorten,0.3604006767
shorten,0.02743911743
shorten,0.3932976723
shorten,0.04333972931
shorten,0.2987692356
shorten,0.7525184155
shorten,0.3092164993
shorten,0.4089448452
shorten,0.3285036087
shorten,0.3146378994
shorten,0.3157012463
shorten,0.3288259506
shorten,0.03008103371
shorten,0.3016893864
shorten,0.4210736752
shorten,0.02455806732
shorten,0.3400263786
shorten,0.02489805222
shorten,0.05234694481
shorten,0.2743053436
shorten,0.3145499229
shorten,0.02534723282
shorten,0.2908546925
shorten,0.3667259216
shorten,0.02742695808
shorten,0.02605414391
shorten,0.3866786957
shorten,0.3477416039
shorten,0.3281276226
shorten,0.02501177788
shorten,0.3176949024
shorten,0.02047348022
shorten,0.04651689529
shorten,0.02789449692
shorten,0.03945064545
shorten,0.03954863548
shorten,0.2792859077
shorten,0.3029351234
shorten,0.3002250195
shorten,0.2750501633
shorten,0.04729366302
shorten,0.3780179024
shorten,0.366004467
shorten,0.2967112064
shorten,0.01842188835
shorten,0.2913138866
shorten,0.2837059498
shorten,0.2914843559
shorten,0.2890536785
shorten,0.3887941837
shorten,0.3192679882
shorten,1.111221552
shorten,0.2942197323
shorten,0.01972651482
shorten,0.04213142395
shorten,0.3175899982
shorten,0.3204462528
shorten,0.3089337349
shorten,0.3480834961
shorten,0.04368901253
shorten,0.2844793797
shorten,0.7374818325
shorten,0.2900261879
shorten,0.3829994202
shorten,0.3587119579
shorten,0.3092579842
shorten,0.04215526581
shorten,1.702623367
shorten,0.3565392494
shorten,0.3354105949
shorten,0.2886211872
shorten,0.3596544266
shorten,0.3197109699
shorten,0.3201470375
shorten,0.046220541
shorten,0.8610877991
shorten,0.01986813545
shorten,0.453543663
shorten,0.02346777916
shorten,0.0465066433
shorten,0.04304122925
shorten,0.04182457924
redirect,0.05994224548
redirect,0.02896928787
redirect,0.02781939507
redirect,0.02508306503
redirect,0.0275080204
redirect,0.02886724472
redirect,0.02523851395
redirect,0.05519318581
redirect,0.744035244
redirect,0.06454253197
redirect,0.04031276703
redirect,0.03898763657
redirect,0.03705739975
redirect,0.04455685616
redirect,0.02853107452
redirect,0.02690720558
redirect,0.03698039055
redirect,0.02363157272
redirect,0.04077672958
redirect,0.6262578964
redirect,0.07482409477
redirect,0.04507541656
redirect,0.04140543938
redirect,0.03802347183
redirect,0.0302529335
redirect,0.02638435364
redirect,0.02976441383
redirect,0.0400147438
redirect,0.03325438499
redirect,0.03684902191
redirect,0.02207422256
redirect,0.02878546715
redirect,0.02501702309
redirect,0.02326965332
redirect,0.5152404308
redirect,0.07244825363
redirect,0.05953645706
redirect,0.03919863701
redirect,0.04337024689
redirect,0.02970528603
redirect,0.02627229691
redirect,0.02669215202
redirect,0.03024673462
redirect,0.02704167366
redirect,0.02555418015
redirect,0.02401423454
redirect,0.02296233177
redirect,0.01854991913
redirect,0.02202510834
redirect,0.02530694008
redirect,0.0292224884
redirect,0.01943397522
redirect,0.02909040451
redirect,0.02045106888
redirect,0.02243971825
redirect,0.01625132561
redirect,0.02068948746
redirect,0.3689403534
redirect,0.06650042534
redirect,0.06172609329
redirect,0.03633785248
redirect,0.04733848572
redirect,0.03366994858
redirect,0.0321855545
redirect,0.02435183525
redirect,0.02517104149
redirect,0.02308511734
redirect,0.02763724327
redirect,0.02954864502
redirect,0.02386331558
redirect,0.02825784683
redirect,0.02296090126
redirect,0.01994657516
redirect,0.02232456207
redirect,0.02161765099
redirect,0.01741027832
redirect,0.02681040764
redirect,0.02296686172
redirect,0.0180478096
redirect,0.02064967155
redirect,0.02063894272
redirect,0.01836133003
redirect,0.0220489502
redirect,0.0227701664
redirect,0.02839565277
redirect,0.02534580231
redirect,0.01919960976
redirect,0.01987624168
redirect,0.02070379257
redirect,0.02101540565
redirect,0.02692484856
redirect,0.02143144608
redirect,0.01893377304
redirect,0.01607584953
redirect,0.02063059807
redirect,0.02225971222
redirect,0.01865267754
redirect,0.05302047729
redirect,0.05835795403
redirect,0.03710365295
SHORT_AVG,0.2884393549
REDIR_AVG,0.05225031614
cpu,26.2
memory,89.2
throughput,1.547759623